id,merchant,nomor_telepon
985,KFC,0833254452374
986,Nasgor Pocin,0833696741020
987,KFC,0833712896302
988,Solaria,0833050095509
989,Lotteria,0833869052571
990,KFC,0833241009518
991,Solaria,0833914893637
992,McDonalds,0833094625515
993,McDonalds,0833098762340
994,Solaria,0833648166249
995,Nasgor Pocin,0833282462921
996,McDonalds,0833423738837
997,Solaria,0833330400166
998,Solaria,0833334363804
999,McDonalds,0833704915478
1000,McDonalds,0833910508365
